,总模拟次数,平均收益,收益标准差,最小收益,最大收益,平均夏普,平均回撤,最坏回撤,盈利概率,破产概率
classic,"710,000",109.1%,159.7%,-60.5%,755.3%,0.545,-37.5%,-67.7%,77.5%,1.41%
momentum,"710,000",111.8%,154.8%,-70.0%,899.7%,0.593,-40.5%,-82.8%,74.6%,2.82%
value,"710,000",79.3%,121.7%,-51.5%,952.0%,0.463,-33.0%,-70.1%,87.3%,1.41%
growth,"710,000",108.2%,143.0%,-75.2%,602.0%,0.663,-42.4%,-82.5%,76.1%,4.23%
ai,"710,000",153.4%,123.8%,-39.7%,528.4%,1.036,-24.9%,-60.2%,94.4%,0.00%
lstm,"710,000",179.8%,177.0%,-14.9%,895.2%,1.158,-22.3%,-61.7%,97.2%,0.00%
rl,"710,000",223.3%,198.3%,-15.7%,1257.2%,0.973,-27.1%,-57.1%,98.6%,0.00%
sentiment,"710,000",132.8%,150.3%,-54.2%,736.4%,0.626,-34.7%,-70.1%,88.7%,1.41%
arbitrage,"710,000",54.6%,29.9%,3.2%,169.6%,0.974,-10.7%,-31.5%,100.0%,0.00%
pairs_trading,"710,000",76.5%,51.8%,-18.3%,268.3%,1.230,-11.9%,-34.1%,98.6%,0.00%
market_neutral,"710,000",40.2%,22.8%,-6.2%,109.9%,0.953,-7.9%,-25.4%,98.6%,0.00%
optimization,"710,000",112.6%,96.5%,-32.9%,586.3%,0.974,-19.8%,-43.4%,94.4%,0.00%
risk_parity,"710,000",90.8%,74.0%,-35.0%,323.9%,1.044,-16.3%,-36.0%,94.4%,0.00%
multi_factor,"710,000",94.7%,92.9%,-18.8%,468.2%,0.825,-24.2%,-53.0%,90.1%,0.00%
